v_mean_m_per_s,p_from_bar,p_to_bar,t_from_k,t_to_k,mdot_from_kg_per_s,mdot_to_kg_per_s,vdot_norm_m3_per_s,reynolds,lambda,deltat_k,qext_w
0.033860051,9.445134292,7.692387558,379.7199298,313.15,0.049394658,-0.049394658,4.94E-05,3994.725425,0.033369291,68.01746486,15542
0.353435792,9.169975063,7.98207453,382.5179173,313.15,0.515588122,-0.515588122,0.00051565,41697.48473,0.01888303,65.26649656,162229.4998
0.339325986,9.484814591,7.726991925,379.0060012,313.15,0.495004898,-0.495004898,0.000495064,40032.84455,0.018946853,64.03143777,155753.0002
1.928281068,9.024132097,8.130996904,382.4691111,313.15,2.812954536,-2.812954536,0.002813292,227493.8536,0.017629491,67.20854305,885094.4922
0.453375447,9.094474028,8.060206904,382.4587792,313.15,0.661378957,-0.661378957,0.000661458,53488.1192,0.018544693,67.59006085,208102.5002
0.605289239,9.000023375,8.157174201,382.0384796,313.15,0.882989071,-0.882989071,0.000883095,71410.53434,0.018244392,67.464248,277831.9926
0.115231361,8.464396878,8.701454504,382.0579299,313.15,0.168098201,-0.168098201,0.000168118,13594.71226,0.022055878,69.87384166,52892.00018
0.486779078,8.872215762,8.285082411,382.3599167,313.15,0.710107794,-0.710107794,0.000710193,57428.99731,0.018462585,69.78410968,223435.0002
0.42634209,8.86753287,8.292333375,382.1681876,313.15,0.621943001,-0.621943001,0.000622018,50298.79021,0.018620562,69.780081,195694
0.562964175,8.898869694,8.261671201,382.0304326,313.15,0.821245749,-0.821245749,0.000821344,66417.12756,0.018311772,69.23496926,258404.4926
0.456197844,8.937547625,8.221234268,382.0773456,313.15,0.665496237,-0.665496237,0.000665576,53821.09861,0.01853729,68.00209835,209398
0.408230165,8.936428301,8.222440138,382.073079,313.15,0.595521531,-0.595521531,0.000595593,48161.98989,0.018677014,67.36864645,187380.4998
0.327220506,9.148002899,8.006738491,382.4038626,313.15,0.47734556,-0.47734556,0.000477403,38604.66976,0.019005996,69.06066291,150196.5
0.408230165,8.817093091,8.345282118,382.0169905,313.15,0.595521531,-0.595521531,0.000595593,48161.98989,0.018677014,69.43977829,187380.4998
0.406589668,8.842674906,8.318307059,381.9596565,313.15,0.593128392,-0.593128392,0.000593199,47968.44808,0.018682376,69.52815216,186627.5002
0.309470232,8.380461058,8.785998488,382.118067,313.15,0.451451662,-0.451451662,0.000451506,36510.53614,0.019101084,69.16429393,142049.0002
0.443272115,9.083295523,8.072909561,382.4213055,313.15,0.64664033,-0.64664033,0.000646718,52296.15292,0.018571965,69.78482878,203465
0.04632936,9.584569569,7.519341865,378.220678,313.15,0.067584744,-0.067584744,6.76E-05,5465.823802,0.029057288,69.4047219,21265.5
0.067720101,9.470369889,7.661991296,382.625119,313.15,0.098789315,-0.098789315,9.88E-05,7989.450851,0.025358728,69.44924202,31084
1.69335547,9.054070495,8.100586944,382.409675,313.15,2.47024774,-2.47024774,0.002470544,199777.9098,0.017668521,69.75009365,777262
0.481592882,8.759213691,8.399578896,381.4742813,313.15,0.70254223,-0.70254223,0.000702626,56817.14268,0.018474586,69.49964912,221054.5
1.000593691,8.878210635,8.279305952,381.7184892,313.15,1.45965472,-1.45965472,0.00145983,118047.5805,0.017890319,69.67178112,459279.5
0.203885784,8.913350747,8.241943449,382.4041045,313.15,0.297426267,-0.297426267,0.000297462,24053.94284,0.020008852,69.030623,93585.00018
0.871252508,8.784820337,8.372392538,382.3057014,313.15,1.27097327,-1.27097327,0.001271126,102788.2261,0.017970805,68.77199184,399910.9926
0.780959782,8.751658338,8.406084066,382.2988285,313.15,1.139255266,-1.139255266,0.001139392,92135.71254,0.018042793,68.57948806,358466
1.477725857,9.31830751,7.833530303,382.0329531,313.15,2.155689708,-2.155689708,0.002155948,174338.4588,0.017715267,68.13007882,678286.5
0.839032987,9.521790395,7.623831917,382.9250566,313.15,1.223971799,-1.223971799,0.001224118,98987.04639,0.017994714,68.59464057,385122.0074
0.313930948,8.911592529,8.249346751,381.8922483,313.15,0.457958904,-0.457958904,0.000458014,37036.80048,0.019076176,66.56992979,144096.5002
0.482774782,8.860256952,8.299704943,382.1021482,313.15,0.704266372,-0.704266372,0.000704351,56956.58029,0.018471828,69.3679173,221597.0002
0.332045051,8.863189763,8.296615028,382.1018368,313.15,0.484383551,-0.484383551,0.000484442,39173.85768,0.018981908,65.85600123,152410.9998
0.529104141,8.882822918,8.276938972,381.7093612,313.15,0.771851116,-0.771851116,0.000771944,62422.40409,0.018373438,69.31911109,242862.5002
0.63350669,9.476731187,7.673005767,382.6190496,313.15,0.924152369,-0.924152369,0.000924263,74739.55978,0.018204472,69.3087792,290784
0.101123732,8.500852585,8.662826648,381.8513029,313.15,0.147518152,-0.147518152,0.000147536,11930.32896,0.022712644,68.88847964,46416.5
0.396942755,8.98476834,8.171789493,382.3134921,313.15,0.579055586,-0.579055586,0.000579125,46830.32912,0.018714801,68.90792993,182199.5
0.142266896,9.431643133,7.721409091,381.858638,313.15,0.207537333,-0.207537333,0.000207562,16784.29814,0.021161253,69.20991667,65301.49982
0.374370114,8.891485902,8.267728279,381.6269424,313.15,0.546126873,-0.546126873,0.000546192,44167.26446,0.018797202,69.01818757,171838.4998
0.361900805,8.869723742,8.289918269,382.120086,313.15,0.527936787,-0.527936787,0.000528,42696.16609,0.018847129,68.88043258,166114.9998
0.229280822,8.878056842,8.282527756,381.7178965,313.15,0.33447226,-0.33447226,0.000334512,27049.98691,0.019714155,68.92734559,105241.5002
0.391300139,8.945247508,8.21239007,382.2785016,313.15,0.570824202,-0.570824202,0.000570893,46164.62718,0.018734508,68.92307899,179609.4998
0.074546794,9.701943789,7.378829926,382.6554908,313.15,0.108748017,-0.108748017,0.000108761,8794.847286,0.024625153,69.25386258,34217.49982
0.619399078,8.911049281,8.249402589,381.916276,313.15,0.903572345,-0.903572345,0.000903681,73075.17844,0.018223976,68.86699048,284308.5074
0.758843577,8.805601366,8.351700131,382.3853244,313.15,1.106992397,-1.106992397,0.001107125,89526.49717,0.018063037,68.80965646,348314.5074
0.143448795,9.43314718,7.719667467,381.8962587,313.15,0.209261474,-0.209261474,0.000209287,16923.73574,0.021129836,68.96806703,65844
0.436445422,8.981805014,8.175162767,382.215621,313.15,0.636681628,-0.636681628,0.000636758,51490.75649,0.018591107,69.27130551,200331.5002
0.464662857,9.092844873,8.06075659,382.4519995,313.15,0.677844901,-0.677844901,0.000677926,54819.77997,0.018515627,65.070678,213283.5
0.059255089,9.309197073,7.834353785,382.1390917,313.15,0.086440651,-0.086440651,8.65E-05,6990.769495,0.026503094,69.475119,27198.5
0.562964175,9.34233985,7.812482807,381.1275721,313.15,0.821245749,-0.821245749,0.000821344,66417.12756,0.018311772,69.25967499,258404.4926
0.309470232,9.897131807,7.145996304,382.9047889,313.15,0.451451662,-0.451451662,0.000451506,36510.53614,0.019101084,68.32428128,142049.0002
0.448914731,9.448733127,7.767970513,380.7829297,313.15,0.654871714,-0.654871714,0.00065495,52961.85486,0.018556582,68.56848917,206055.0002
0.697947958,9.50412153,7.657112068,382.915774,313.15,1.018158559,-1.018158559,0.001018281,82342.18194,0.01812541,69.25410448,320362.9926
0.17330455,9.613229757,7.620790667,380.6537961,313.15,0.25281471,-0.25281471,0.000252845,20446.04415,0.020478355,69.15570144,79548
0.453375447,9.448766017,7.767935218,380.7829988,313.15,0.661378957,-0.661378957,0.000661458,53488.1192,0.018544693,69.14882855,208102.5002
0.339325986,8.271247798,8.899919788,382.0037242,313.15,0.495004898,-0.495004898,0.000495064,40032.84455,0.018946853,68.88295307,155753.0002
0.902292372,9.375405372,7.765126179,382.6002954,313.15,1.316253872,-1.316253872,0.001316412,106450.2329,0.017949385,69.77505663,414158.5074
0.562964175,9.504980742,7.671404409,382.9500356,313.15,0.821245749,-0.821245749,0.000821344,66417.12756,0.018311772,68.74224834,258404.4926
0.485597178,9.675077191,7.426912112,383.0349229,313.15,0.708383652,-0.708383652,0.000708469,57289.5597,0.018465297,68.9521482,222892.5
1.879129329,9.586575693,7.575891143,382.9112231,313.15,2.741252536,-2.741252536,0.002741581,221695.0523,0.01763685,68.95183684,862533.5
0.730626126,9.586553027,7.575939596,382.7967268,313.15,1.0658291,-1.0658291,0.001065957,86197.47172,0.018090646,68.55936119,335362.5
0.422337793,8.437286871,8.728154561,382.0556976,313.15,0.616101579,-0.616101579,0.000616175,49826.37319,0.018632626,69.46904962,193856
0.308288332,9.581601974,7.626747216,380.5447972,313.15,0.44972752,-0.44972752,0.000449781,36371.09853,0.019107804,68.7013029,141506.5
0.561782292,8.404409682,8.762705063,382.0189208,313.15,0.819521632,-0.819521632,0.00081962,66277.69191,0.018313799,69.1634921,257862
0.502527204,9.501033381,7.714249708,380.6946568,313.15,0.733080981,-0.733080981,0.000733169,59286.92242,0.018427661,68.70863802,230663.5
0.459020241,9.505224992,7.70970144,380.774345,313.15,0.669613517,-0.669613517,0.000669694,54154.07803,0.018529978,68.47694236,210693.4998
0.246210847,9.590292908,7.617428559,380.5717523,313.15,0.359169589,-0.359169589,0.000359213,29047.34963,0.019551464,68.97008598,113012.5002
0.04632936,9.251278095,7.89613144,381.7577506,313.15,0.067584744,-0.067584744,6.76E-05,5465.823802,0.029057288,68.56789653,21265.5
0.025395038,9.294898692,7.849879376,381.8071802,313.15,0.037045993,-0.037045993,3.71E-05,2996.044069,0.038709667,69.12850165,11656.5
0.042325063,9.294626591,7.850221791,381.802765,313.15,0.061743322,-0.061743322,6.18E-05,4993.406782,0.030165066,69.50549081,19427.5
0.305465936,8.335440414,8.832871253,382.1001016,313.15,0.44561024,-0.44561024,0.000445664,36038.11912,0.019124063,68.76627598,140211.0002
0.516634832,9.442242034,7.771026907,380.3928008,313.15,0.75366103,-0.75366103,0.000753751,60951.30571,0.018398184,69.2353244,237139.0002
0.025395038,9.527439363,7.584986708,381.8920381,313.15,0.037045993,-0.037045993,3.71E-05,2996.044069,0.038709667,68.74625872,11656.5
0.063259385,9.286142952,7.859702995,381.8050361,313.15,0.092282073,-0.092282073,9.23E-05,7463.186515,0.025923591,69.06562097,29036.5
